commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/aws/aws-encryption-sdk/commit/3d9f7ce300ad550699367ea6efc2274dd2da34ee,12,0,0
https://github.com/aws/aws-encryption-sdk/commit/425c9183cf4a556b763cce90f3d356d51fe3ac76,5,583,78
https://github.com/aws/aws-encryption-sdk/commit/45992f36ea6bbc99dfbb9ac906beeac81efd4f76,2,28,32
https://github.com/aws/aws-encryption-sdk/commit/4628b3372ed0c0fc0e49a487a320c8e132a3dba0,1,16,4
https://github.com/aws/aws-encryption-sdk/commit/4869a848bec6ccf955519d4ea6043d1cce052033,3,113,2
https://github.com/aws/aws-encryption-sdk/commit/48ffd37186b4ea893e711acfe388493706035eed,2,2,0
https://github.com/aws/aws-encryption-sdk/commit/4c6fa1364533fb3d13a8e8cb2ea711a34c894ec0,11,932,932
https://github.com/aws/aws-encryption-sdk/commit/4c9d5d6ea7ee3f5cb70d5f2b0fbb6bd886e95c08,4,38,15
https://github.com/aws/aws-encryption-sdk/commit/4ed0c5922a5ee14782d64a606217dcb303fb97ad,5,58,78
https://github.com/aws/aws-encryption-sdk/commit/50094df7ee40b93b1a9981899f49694ea7da57cb,11,932,932
https://github.com/aws/aws-encryption-sdk/commit/503ff5b5346892e90488bc78d28282044a00704e,1,1,1
https://github.com/aws/aws-encryption-sdk/commit/517a4a8de8770e988212b4e2fb34fa4d9daf8028,2,1,4
https://github.com/aws/aws-encryption-sdk/commit/522481595557e4543204670054170107a9f88e7b,8,294,106
https://github.com/aws/aws-encryption-sdk/commit/522f26b82df89b61c8a7f64e32e9e509c8694eef,1,33,27
https://github.com/aws/aws-encryption-sdk/commit/545328a2825637b40a6538a6862f351c2fd74508,1,8,4
https://github.com/aws/aws-encryption-sdk/commit/548facd062602c5077f37d2e2985bb498366c18a,10,290,430
https://github.com/aws/aws-encryption-sdk/commit/58972242aabae2b6df52cb2c0bfd1bfced7020fb,7,12,12
https://github.com/aws/aws-encryption-sdk/commit/591568836d137f92e80ddbf57410ced8cdfecc7d,5,278,312
https://github.com/aws/aws-encryption-sdk/commit/593eec25dfa006f6b13116bfab12c250fe1ab4dd,3,28,10
https://github.com/aws/aws-encryption-sdk/commit/5a0e1c68351aa44af524cc626da7bca6ca7ed8d4,2,16,25
https://github.com/aws/aws-encryption-sdk/commit/5a5bcd9f6e16a3da39cb370bbb4a8f335d8d22cc,7,552,331
https://github.com/aws/aws-encryption-sdk/commit/5ab9ea1a15e243ba3eff0743db7bd1306fd9146b,12,914,17
https://github.com/aws/aws-encryption-sdk/commit/5b386328e588d838d5340344c5e07504ba3eb7fd,6,90,112
https://github.com/aws/aws-encryption-sdk/commit/5c1fbe389a0c68459ef41adea9cc2e755baea9c4,1,10,2
https://github.com/aws/aws-encryption-sdk/commit/5c57488c0c09d221ce4e9617476cc44f1aa3781a,4,126,140
https://github.com/aws/aws-encryption-sdk/commit/5d850695d61a133498f9ccfd0b4637356ceac770,1,1,1
https://github.com/aws/aws-encryption-sdk/commit/5db326e90bbce890a54e3e5863045a453623a990,3,28,10
https://github.com/aws/aws-encryption-sdk/commit/5ef95623b1002734dd540cc161281116d459cfa1,1,10,0
https://github.com/aws/aws-encryption-sdk/commit/5fc6105dea8576fa450ad9eb0f84aad7d3737767,3,6,8
https://github.com/aws/aws-encryption-sdk/commit/61ecfec849448ea8b44cda7c90338c1aedfcf187,2,24,24
https://github.com/aws/aws-encryption-sdk/commit/64b5293ebb5c5f0564edc5660e62c6b97f2f3516,1,13,13
https://github.com/aws/aws-encryption-sdk/commit/68dc31cb846d60f400319ffe72b7d1749726ea31,1,8,8
https://github.com/aws/aws-encryption-sdk/commit/6b0a65ef60e8568c8e3499987bebd992f8819180,19,62,62
https://github.com/aws/aws-encryption-sdk/commit/6d704b58e1c2e0bc54bc6293e6d793c57d6109aa,2,5,3
https://github.com/aws/aws-encryption-sdk/commit/701e3c83610cb92b6128f982e3842e732e79eee3,4,82,7
https://github.com/aws/aws-encryption-sdk/commit/71ca59a0983727a37eab76045ee47ee86abd1b99,1,1,1
https://github.com/aws/aws-encryption-sdk/commit/71f2f1090346b7ff2611ca46bc8481dd1ea5ad05,1,132,138
https://github.com/aws/aws-encryption-sdk/commit/735208de811dd915ea03188cb55841246f2e52e2,2,1,1
https://github.com/aws/aws-encryption-sdk/commit/737ff25bf5965cc6bef0c85089c6672bffe7c6b7,4,11,30
https://github.com/aws/aws-encryption-sdk/commit/7455b83066c0f246ad493be7ddd7f4f356d8ac58,18,483,433
https://github.com/aws/aws-encryption-sdk/commit/762b8398a0fff9ffb33bacd97cfa149a792ce778,2,77,4
https://github.com/aws/aws-encryption-sdk/commit/77a3a453c78e8e97b1cd6c5cc5d86a48b250fff6,16,1847,869
https://github.com/aws/aws-encryption-sdk/commit/77a4cc989d31467c86dc2287bfb4a947d97d5d99,11,164,105
https://github.com/aws/aws-encryption-sdk/commit/781ca5c2031d5078ae7e718629367de3565a7c21,3,40,19
https://github.com/aws/aws-encryption-sdk/commit/796461ecbc70c5d09f5c5c05ac78b9590ba1c10e,13,103,58
https://github.com/aws/aws-encryption-sdk/commit/7abf02799124ad7b3f859f2ee528781a3543a2b9,4,7,11
https://github.com/aws/aws-encryption-sdk/commit/7ae3a1097ce91c529621384829d8d2f62428c371,2,2,4
https://github.com/aws/aws-encryption-sdk/commit/7c2036b6e8a6957374bd22d2c1310efab3a4837e,4,133,176
